"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"SPICEPREFIX";"SUPPLIER";
"1";"";"2KBP2KBP_MINE";"2KBP_MINE";"B1";"RECTIFIER";"";"";"";"";"";"";"";"";
"1";"";"CPOL-EUE10-20";"EB20D";"C18";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"0";"C";"";
"5";"";"LEDCHIP-LED0805";"CHIP-LED0805";"5V, 15V, 24V, ACT, ERR";"LED";"";"";"";"";"";"68";"";"";
"1";"";"MA04-1";"MA04-1";"EXT_CMD";"PIN HEADER";"";"";"unknown";"unknown";"";"41";"";"";
"2";"";"MSTBV2";"MSTBV2";"24AC, 24VIN";"PHOENIX";"";"";"unknown";"unknown";"";"3";"";"";
"2";"";"SK09/20V";"SK09/20V";"HEATSYNK, U$1";"";"";"";"";"";"";"";"";"";
"1";"";"W237-102";"W237-102";"SHUNT_RES";"WAGO SCREW CLAMP";"";"237-102";"unknown";"70K9898";"";"32";"";"";
"1";"1-10uF";"C-EUC3216";"C3216";"C7";"CAPACITOR, European symbol";"";"";"";"";"";"4";"C";"";
"1";"1-50uF";"C-EUC3216";"C3216";"C8";"CAPACITOR, European symbol";"";"";"";"";"";"4";"C";"";
"1";"100";"R-EU_M0805";"M0805";"R1";"RESISTOR, European symbol";"";"";"";"";"";"45";"R";"";
"6";"100nF";"C-EUC0805";"C0805";"C4, C5, C9, C10, C13, C16";"CAPACITOR, European symbol";"";"";"";"";"";"88";"C";"";
"2";"10uF";"CPOL-EUA/3216-18R";"A/3216-18R";"C11, C12";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"1";"C";"";
"1";"10uF";"CPOL-EUCT3216";"CT3216";"C17";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"1";"C";"";
"1";"10uF";"CPOL-EUE";"PANASONIC_E";"C14";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"0";"C";"";
"1";"12K";"R-EU_M0805";"M0805";"R5";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"3";"1K8";"R-EU_M0805";"M0805";"R3, R4, R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"1N4148";"1N4148DO35-7";"DO35-7";"D1";"DIODE";"";"";"";"";"";"58";"";"";
"1";"1n4007";"CGRM4007-G";"SOD-123_MINI-SMA";"D2";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";"";"0";"";"";
"1";"22pF";"C-EUC0603";"C0603";"C15";"CAPACITOR, European symbol";"";"";"";"";"";"73";"C";"";
"2";"22uF";"CPOL-EUE";"PANASONIC_E";"C1, C3";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"0";"C";"";
"1";"470uF";"CPOL-EUE5-10.5";"E5-10,5";"C2";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"23";"C";"";
"1";"47uF";"CPOL-EUD";"PANASONIC_D";"C6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"16";"C";"";
"1";"6K8";"R-EU_M0805";"M0805";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"7815TV";"7815TV";"TO220V";"IC1";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"0";"";"";
"1";"ARDUINO-NANO-3.0";"ARDUINO-NANO-3.0";"ARDUINO-NANO-3.0";"M1";"Arduino Nano 3.0 and compatible devices";"";"";"";"";"";"";"";"";
"1";"DAC8552IDGKT";"DAC8552IDGKT";"SOP65P490X110-8N";"U3";"0.05ìV/°C max, SINGLE-SUPPLY CMOS OPERATIONAL AMPLIFIERS Zer.-Drift Series";"";"DAC8552IDGKT";"-";"06M7244";"MSOP-8";"";"";"Texas Instruments";
"1";"IRF512";"IRF512";"TO220BV";"Q2";"N-CHANNEL MOS FET";"";"";"";"";"";"3";"";"";
"1";"LT1006";"LT1006S8PBF";"SOIC127P600X175-8N";"U4";"Precision, Single Supply Op Amp";"";"LT1006S8#PBF";"9559230";"57M0724";"SOIC-8";"";"";"Linear Technology";
"1";"MC78M05";"MC78M05CDTG";"DPACK_3";"IC2";"500 mA Positive Voltage Regulators";"";"";"";"";"";"0";"";"";
"4";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";"";"";"";"";"6";"";"";
"1";"REF5025AID";"REF5025AID";"SOIC127P600X175-8N";"U2";"Low-Noise, Very Low Drift, Precision VOLTAGE REFERENCE";"";"REF5025AID";"1439622";"50M8895";"SOIC-8";"";"";"Texas Instruments";
"1";"YIG_FILTER";"YIG_FILTER";"EBAY";"U$2";"";"";"";"";"";"";"";"";"";
